session_id,timestamp,speed_mph,gps_lat,gps_lon,battery_pct,motor_temp_f,route_type
session_001,2025-03-01T08:00:01,0.83,34.094229,-118.244667,99.96,69.59,highway
session_001,2025-03-01T08:00:02,0,34.094229,-118.244667,99.95,74.31,highway
session_001,2025-03-01T08:00:03,0,34.094229,-118.244667,99.92,67.6,highway
session_001,2025-03-01T08:00:04,0,34.094229,-118.244667,99.88,72.78,highway
session_001,2025-03-01T08:00:05,2.11,34.094232,-118.244665,99.87,70.57,highway
session_001,2025-03-01T08:00:06,3.33,34.094235,-118.244662,99.85,71.28,highway
session_001,2025-03-01T08:00:07,3.33,34.094238,-118.244658,99.82,73.83,highway
session_001,2025-03-01T08:00:08,4.68,34.094243,-118.244654,99.8,67.5,highway
session_001,2025-03-01T08:00:09,6.88,34.09425,-118.244647,99.77,68.3,highway
session_001,2025-03-01T08:00:10,8.33,34.094258,-118.244639,99.73,75.62,highway
session_001,2025-03-01T08:00:11,6.52,34.094265,-118.244632,99.68,76.44,highway
session_001,2025-03-01T08:00:12,6.44,34.094271,-118.244626,99.65,76.59,highway
session_001,2025-03-01T08:00:13,8.19,34.094279,-118.244617,99.62,68.98,highway
session_001,2025-03-01T08:00:14,6.77,34.094286,-118.244611,99.59,69.93,highway
session_001,2025-03-01T08:00:15,4.72,34.094291,-118.244606,99.55,72.03,highway
session_001,2025-03-01T08:00:16,6.24,34.094297,-118.2446,99.54,76.26,highway
session_001,2025-03-01T08:00:17,5.92,34.094303,-118.244594,99.5,72.27,highway
session_001,2025-03-01T08:00:18,4.41,34.094307,-118.244589,99.46,68.64,highway
session_001,2025-03-01T08:00:19,3.27,34.094311,-118.244586,99.44,75.88,highway
session_001,2025-03-01T08:00:20,3.65,34.094314,-118.244582,99.42,75.44,highway
session_001,2025-03-01T08:00:21,5.33,34.09432,-118.244577,99.38,76.95,highway
session_001,2025-03-01T08:00:22,5.95,34.094326,-118.244571,99.34,71.61,highway
session_001,2025-03-01T08:00:23,8.63,34.094334,-118.244562,99.31,68.2,highway
session_001,2025-03-01T08:00:24,7.28,34.094341,-118.244555,99.28,68.36,highway
session_001,2025-03-01T08:00:25,4.48,34.094346,-118.244551,99.26,76.57,highway
session_001,2025-03-01T08:00:26,2.74,34.094349,-118.244548,99.25,75.42,highway
session_001,2025-03-01T08:00:27,2.19,34.094351,-118.244546,99.22,70.62,highway
session_001,2025-03-01T08:00:28,4.25,34.094355,-118.244542,99.2,77.28,highway
session_001,2025-03-01T08:00:29,1.35,34.094356,-118.24454,99.18,68.98,highway
session_001,2025-03-01T08:00:30,0,34.094356,-118.24454,99.15,69.19,highway
session_001,2025-03-01T08:00:31,0,34.094356,-118.24454,99.13,73.61,highway
session_001,2025-03-01T08:00:32,1.13,34.094358,-118.244539,99.08,72.28,highway
session_001,2025-03-01T08:00:33,1.45,34.094359,-118.244538,99.06,75.47,highway
session_001,2025-03-01T08:00:34,0,34.094359,-118.244538,99.03,67.47,highway
session_001,2025-03-01T08:00:35,0,34.094359,-118.244538,99.02,70.58,highway
session_001,2025-03-01T08:00:36,0.42,34.094359,-118.244537,98.98,76.14,highway
session_001,2025-03-01T08:00:37,2.32,34.094362,-118.244535,98.95,72.31,highway
session_001,2025-03-01T08:00:38,2.4,34.094364,-118.244532,98.92,71.18,highway
session_001,2025-03-01T08:00:39,1.0,34.094365,-118.244531,98.88,67.6,highway
session_001,2025-03-01T08:00:40,3.4,34.094369,-118.244528,98.86,74.91,highway
session_001,2025-03-01T08:00:41,2.14,34.094371,-118.244526,98.83,74.44,highway
session_001,2025-03-01T08:00:42,3.32,34.094374,-118.244523,98.8,69.66,highway
session_001,2025-03-01T08:00:43,1.86,34.094376,-118.244521,98.76,76.79,highway
session_001,2025-03-01T08:00:44,1.61,34.094377,-118.244519,98.72,72.36,highway
session_001,2025-03-01T08:00:45,0.73,34.094378,-118.244518,98.68,75.88,highway
session_001,2025-03-01T08:00:46,0.86,34.094379,-118.244518,98.67,76.39,highway
session_001,2025-03-01T08:00:47,2.98,34.094382,-118.244515,98.65,70.8,highway
session_001,2025-03-01T08:00:48,4.93,34.094387,-118.24451,98.62,68.82,highway
session_001,2025-03-01T08:00:49,4.0,34.094391,-118.244506,98.61,69.73,highway
session_001,2025-03-01T08:00:50,1.3,34.094392,-118.244504,98.59,72.27,highway
session_001,2025-03-01T08:00:51,3.28,34.094396,-118.244501,98.54,72.83,highway
session_001,2025-03-01T08:00:52,4.15,34.0944,-118.244497,98.52,76.04,highway
session_001,2025-03-01T08:00:53,5.41,34.094405,-118.244492,98.48,70.64,highway
session_001,2025-03-01T08:00:54,5.3,34.09441,-118.244486,98.45,72.72,highway
session_001,2025-03-01T08:00:55,4.92,34.094415,-118.244481,98.42,74.09,highway
session_001,2025-03-01T08:00:56,2.87,34.094418,-118.244478,98.4,68.74,highway
session_001,2025-03-01T08:00:57,4.22,34.094422,-118.244474,98.36,69.77,highway
session_001,2025-03-01T08:00:58,6.61,34.094429,-118.244468,98.34,72.49,highway
session_001,2025-03-01T08:00:59,5.81,34.094435,-118.244462,98.3,76.25,highway
session_001,2025-03-01T08:01:00,6.14,34.094441,-118.244456,98.26,74.19,highway
session_001,2025-03-01T08:01:01,7.01,34.094448,-118.244449,98.23,74.5,highway
session_001,2025-03-01T08:01:02,8.64,34.094457,-118.24444,98.18,76.74,highway
session_001,2025-03-01T08:01:03,7.64,34.094464,-118.244432,98.13,75.22,highway
session_001,2025-03-01T08:01:04,6.63,34.094471,-118.244426,98.12,73.58,highway
session_001,2025-03-01T08:01:05,3.74,34.094475,-118.244422,98.08,77.1,highway
session_001,2025-03-01T08:01:06,6.15,34.094481,-118.244416,98.04,77.05,highway
session_001,2025-03-01T08:01:07,6.37,34.094487,-118.244409,97.99,68.53,highway
session_001,2025-03-01T08:01:08,8.29,34.094495,-118.244401,97.95,77.23,highway
session_001,2025-03-01T08:01:09,9.42,34.094505,-118.244392,97.93,70.71,highway
session_001,2025-03-01T08:01:10,7.51,34.094512,-118.244384,97.89,77.27,highway
session_001,2025-03-01T08:01:11,5.91,34.094518,-118.244378,97.86,69.67,highway
session_001,2025-03-01T08:01:12,4.38,34.094523,-118.244374,97.84,70.82,highway
session_001,2025-03-01T08:01:13,3.69,34.094526,-118.24437,97.82,72.49,highway
session_001,2025-03-01T08:01:14,5.07,34.094531,-118.244365,97.8,74.05,highway
session_001,2025-03-01T08:01:15,7.15,34.094539,-118.244358,97.78,68.18,highway
session_001,2025-03-01T08:01:16,9.56,34.094548,-118.244348,97.75,73.79,highway
session_001,2025-03-01T08:01:17,7.27,34.094555,-118.244341,97.71,73.77,highway
session_001,2025-03-01T08:01:18,8.98,34.094564,-118.244332,97.68,67.9,highway
session_001,2025-03-01T08:01:19,8.48,34.094573,-118.244324,97.63,68.46,highway
session_001,2025-03-01T08:01:20,6.36,34.094579,-118.244317,97.59,70.55,highway
session_001,2025-03-01T08:01:21,7.87,34.094587,-118.24431,97.56,73.8,highway
session_001,2025-03-01T08:01:22,9.44,34.094597,-118.2443,97.52,75.79,highway
session_001,2025-03-01T08:01:23,9.9,34.094606,-118.24429,97.47,75.61,highway
session_001,2025-03-01T08:01:24,11.81,34.094618,-118.244278,97.45,74.24,highway
session_001,2025-03-01T08:01:25,14.06,34.094632,-118.244264,97.43,71.38,highway
session_001,2025-03-01T08:01:26,12.22,34.094645,-118.244252,97.42,75.54,highway
session_001,2025-03-01T08:01:27,14.35,34.094659,-118.244238,97.4,70.62,highway
session_001,2025-03-01T08:01:28,12.68,34.094672,-118.244225,97.36,71.16,highway
session_001,2025-03-01T08:01:29,14.31,34.094686,-118.244211,97.34,71.58,highway
session_001,2025-03-01T08:01:30,15.71,34.094702,-118.244195,97.29,73.33,highway
session_001,2025-03-01T08:01:31,17.43,34.094719,-118.244178,97.26,75.66,highway
session_001,2025-03-01T08:01:32,19.78,34.094739,-118.244158,97.24,76.41,highway
session_001,2025-03-01T08:01:33,22.35,34.094761,-118.244135,97.23,74.96,highway
session_001,2025-03-01T08:01:34,24.36,34.094786,-118.244111,97.18,70.06,highway
session_001,2025-03-01T08:01:35,24.52,34.09481,-118.244087,97.14,74.86,highway
session_001,2025-03-01T08:01:36,22.71,34.094833,-118.244064,97.1,77.94,highway
session_001,2025-03-01T08:01:37,19.95,34.094853,-118.244044,97.08,73.29,highway
session_001,2025-03-01T08:01:38,17.27,34.09487,-118.244027,97.03,77.12,highway
session_001,2025-03-01T08:01:39,15.45,34.094885,-118.244011,97.02,69.59,highway
session_001,2025-03-01T08:01:40,13.75,34.094899,-118.243997,96.99,76.05,highway
session_001,2025-03-01T08:01:41,13.23,34.094912,-118.243984,96.95,74.42,highway
session_001,2025-03-01T08:01:42,14.32,34.094927,-118.24397,96.91,78.28,highway
session_001,2025-03-01T08:01:43,13.65,34.09494,-118.243956,96.89,72.75,highway
session_001,2025-03-01T08:01:44,13.87,34.094954,-118.243942,96.84,73.19,highway
session_001,2025-03-01T08:01:45,16.27,34.094971,-118.243926,96.82,69.65,highway
session_001,2025-03-01T08:01:46,14.63,34.094985,-118.243911,96.8,70.36,highway
session_001,2025-03-01T08:01:47,16.69,34.095002,-118.243895,96.76,69.68,highway
session_001,2025-03-01T08:01:48,13.98,34.095016,-118.243881,96.74,69.98,highway
session_001,2025-03-01T08:01:49,15.63,34.095031,-118.243865,96.7,73.42,highway
session_001,2025-03-01T08:01:50,17.07,34.095049,-118.243848,96.66,77.68,highway
session_001,2025-03-01T08:01:51,17.03,34.095066,-118.243831,96.63,75.46,highway
session_001,2025-03-01T08:01:52,16.28,34.095082,-118.243815,96.6,71.84,highway
session_001,2025-03-01T08:01:53,15.12,34.095097,-118.2438,96.58,74.1,highway
session_001,2025-03-01T08:01:54,17.78,34.095115,-118.243782,96.55,77.42,highway
session_001,2025-03-01T08:01:55,19.54,34.095134,-118.243762,96.53,76.65,highway
session_001,2025-03-01T08:01:56,18.9,34.095153,-118.243743,96.49,72.03,highway
session_001,2025-03-01T08:01:57,18.79,34.095172,-118.243725,96.47,75.31,highway
session_001,2025-03-01T08:01:58,20.49,34.095192,-118.243704,96.44,69.41,highway
session_001,2025-03-01T08:01:59,19.11,34.095212,-118.243685,96.42,75.25,highway
session_001,2025-03-01T08:02:00,21.35,34.095233,-118.243664,96.41,73.36,highway
session_001,2025-03-01T08:02:01,22.06,34.095255,-118.243642,96.39,69.49,highway
session_001,2025-03-01T08:02:02,22.45,34.095277,-118.243619,96.37,69.68,highway
session_001,2025-03-01T08:02:03,19.71,34.095297,-118.243599,96.33,70.62,highway
session_001,2025-03-01T08:02:04,18.52,34.095316,-118.243581,96.29,75.94,highway
session_001,2025-03-01T08:02:05,15.76,34.095331,-118.243565,96.24,74.92,highway
session_001,2025-03-01T08:02:06,18.22,34.09535,-118.243547,96.21,71.16,highway
session_001,2025-03-01T08:02:07,21.03,34.095371,-118.243526,96.16,76.94,highway
session_001,2025-03-01T08:02:08,23.33,34.095394,-118.243503,96.12,75.23,highway
session_001,2025-03-01T08:02:09,21.11,34.095415,-118.243482,96.09,72.63,highway
session_001,2025-03-01T08:02:10,21.0,34.095436,-118.243461,96.06,71.12,highway
session_001,2025-03-01T08:02:11,18.02,34.095454,-118.243442,96.02,75.4,highway
session_001,2025-03-01T08:02:12,19.18,34.095473,-118.243423,96.01,76.86,highway
session_001,2025-03-01T08:02:13,20.07,34.095493,-118.243403,95.99,74.23,highway
session_001,2025-03-01T08:02:14,20.54,34.095514,-118.243383,95.96,76.19,highway
session_001,2025-03-01T08:02:15,22.08,34.095536,-118.243361,95.91,78.82,highway
session_001,2025-03-01T08:02:16,24.58,34.095561,-118.243336,95.86,76.58,highway
session_001,2025-03-01T08:02:17,22.61,34.095583,-118.243313,95.82,77.73,highway
session_001,2025-03-01T08:02:18,25.22,34.095608,-118.243288,95.78,79.04,highway
session_001,2025-03-01T08:02:19,28.18,34.095637,-118.24326,95.77,72.02,highway
session_001,2025-03-01T08:02:20,27.55,34.095664,-118.243232,95.72,70.98,highway
session_001,2025-03-01T08:02:21,30.37,34.095695,-118.243202,95.68,72.58,highway
session_001,2025-03-01T08:02:22,32.65,34.095727,-118.243169,95.65,74.43,highway
session_001,2025-03-01T08:02:23,33.38,34.095761,-118.243136,95.63,75.41,highway
session_001,2025-03-01T08:02:24,31.88,34.095792,-118.243104,95.59,79.53,highway
session_001,2025-03-01T08:02:25,34.16,34.095827,-118.24307,95.55,78.95,highway
session_001,2025-03-01T08:02:26,31.38,34.095858,-118.243039,95.52,74.92,highway
session_001,2025-03-01T08:02:27,31.42,34.095889,-118.243007,95.51,77.42,highway
session_001,2025-03-01T08:02:28,30.61,34.09592,-118.242977,95.47,76.54,highway
session_001,2025-03-01T08:02:29,28.55,34.095949,-118.242948,95.43,75.27,highway
session_001,2025-03-01T08:02:30,27.72,34.095976,-118.24292,95.39,75.36,highway
session_001,2025-03-01T08:02:31,29.19,34.096005,-118.242891,95.35,75.28,highway
session_001,2025-03-01T08:02:32,30.11,34.096036,-118.242861,95.33,70.43,highway
session_001,2025-03-01T08:02:33,30.96,34.096067,-118.24283,95.29,75.19,highway
session_001,2025-03-01T08:02:34,31.97,34.096099,-118.242798,95.28,74.21,highway
session_001,2025-03-01T08:02:35,31.05,34.09613,-118.242767,95.25,72.58,highway
session_001,2025-03-01T08:02:36,33.53,34.096163,-118.242734,95.2,78.49,highway
session_001,2025-03-01T08:02:37,35.92,34.096199,-118.242698,95.19,75.4,highway
session_001,2025-03-01T08:02:38,37.27,34.096236,-118.24266,95.14,80.62,highway
session_001,2025-03-01T08:02:39,39.93,34.096276,-118.24262,95.1,76.13,highway
session_001,2025-03-01T08:02:40,41.03,34.096317,-118.242579,95.09,73.54,highway
session_001,2025-03-01T08:02:41,42.18,34.096359,-118.242537,95.06,73.84,highway
session_001,2025-03-01T08:02:42,41.03,34.0964,-118.242496,95.02,76.49,highway
session_001,2025-03-01T08:02:43,39.85,34.09644,-118.242456,94.98,71.3,highway
session_001,2025-03-01T08:02:44,41.24,34.096482,-118.242415,94.94,71.28,highway
session_001,2025-03-01T08:02:45,40.78,34.096522,-118.242374,94.93,78.79,highway
session_001,2025-03-01T08:02:46,37.88,34.09656,-118.242336,94.9,77.68,highway
session_001,2025-03-01T08:02:47,40.35,34.096601,-118.242296,94.87,79.47,highway
session_001,2025-03-01T08:02:48,38.34,34.096639,-118.242258,94.85,74.74,highway
session_001,2025-03-01T08:02:49,39.6,34.096678,-118.242218,94.83,77.81,highway
session_001,2025-03-01T08:02:50,38.87,34.096717,-118.242179,94.81,78.85,highway
session_001,2025-03-01T08:02:51,38.65,34.096756,-118.242141,94.77,80.45,highway
session_001,2025-03-01T08:02:52,39.5,34.096796,-118.242101,94.76,73.45,highway
session_001,2025-03-01T08:02:53,37.11,34.096833,-118.242064,94.74,79.26,highway
session_001,2025-03-01T08:02:54,34.33,34.096867,-118.24203,94.7,74.06,highway
session_001,2025-03-01T08:02:55,37.04,34.096904,-118.241993,94.67,79.34,highway
session_001,2025-03-01T08:02:56,35.18,34.096939,-118.241957,94.64,74.77,highway
session_001,2025-03-01T08:02:57,33.6,34.096973,-118.241924,94.59,74.34,highway
session_001,2025-03-01T08:02:58,32.36,34.097005,-118.241892,94.58,78.6,highway
session_001,2025-03-01T08:02:59,29.81,34.097035,-118.241862,94.57,74.44,highway
session_001,2025-03-01T08:03:00,27.41,34.097062,-118.241834,94.56,72.4,highway
session_001,2025-03-01T08:03:01,29.36,34.097092,-118.241805,94.52,76.19,highway
session_001,2025-03-01T08:03:02,26.68,34.097118,-118.241778,94.51,78.11,highway
session_001,2025-03-01T08:03:03,27.11,34.097145,-118.241751,94.47,77.86,highway
session_001,2025-03-01T08:03:04,29.05,34.097175,-118.241722,94.44,74.99,highway
session_001,2025-03-01T08:03:05,30.61,34.097205,-118.241691,94.42,78.17,highway
session_001,2025-03-01T08:03:06,32.44,34.097238,-118.241659,94.4,71.52,highway
session_001,2025-03-01T08:03:07,30.02,34.097268,-118.241629,94.38,74.81,highway
session_001,2025-03-01T08:03:08,31.84,34.097299,-118.241597,94.35,73.45,highway
session_001,2025-03-01T08:03:09,32.06,34.097332,-118.241565,94.31,73.77,highway
session_001,2025-03-01T08:03:10,33.78,34.097365,-118.241531,94.29,77.89,highway
session_001,2025-03-01T08:03:11,31.65,34.097397,-118.2415,94.28,76.3,highway
session_001,2025-03-01T08:03:12,32.48,34.097429,-118.241467,94.26,73.31,highway
session_001,2025-03-01T08:03:13,34.64,34.097464,-118.241433,94.24,73.13,highway
session_001,2025-03-01T08:03:14,33.42,34.097497,-118.241399,94.2,73.46,highway
session_001,2025-03-01T08:03:15,36.19,34.097534,-118.241363,94.18,75.04,highway
session_001,2025-03-01T08:03:16,38.77,34.097572,-118.241324,94.17,80.43,highway
session_001,2025-03-01T08:03:17,35.77,34.097608,-118.241288,94.13,79.63,highway
session_001,2025-03-01T08:03:18,37.41,34.097646,-118.241251,94.11,71.55,highway
session_001,2025-03-01T08:03:19,36.24,34.097682,-118.241215,94.09,73.92,highway
session_001,2025-03-01T08:03:20,34.03,34.097716,-118.241181,94.06,78.46,highway
session_001,2025-03-01T08:03:21,31.51,34.097747,-118.241149,94.03,78.25,highway
session_001,2025-03-01T08:03:22,33.14,34.097781,-118.241116,94.01,74.41,highway
session_001,2025-03-01T08:03:23,34.16,34.097815,-118.241082,93.97,79.45,highway
session_001,2025-03-01T08:03:24,36.05,34.097851,-118.241046,93.93,76.13,highway
session_001,2025-03-01T08:03:25,35.34,34.097886,-118.241011,93.92,74.73,highway
session_001,2025-03-01T08:03:26,32.94,34.097919,-118.240978,93.9,76.28,highway
session_001,2025-03-01T08:03:27,30.85,34.09795,-118.240947,93.86,79.21,highway
session_001,2025-03-01T08:03:28,33.82,34.097984,-118.240913,93.84,71.33,highway
session_001,2025-03-01T08:03:29,33.52,34.098017,-118.240879,93.79,73.82,highway
session_001,2025-03-01T08:03:30,34.24,34.098051,-118.240845,93.78,74.54,highway
